sen1,sen2,sen3,sen4,sen5,value
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.59,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.59,4.59,4.57,0
1.56,1.51,0.59,4.59,4.58,0
1.56,1.51,0.6,4.59,4.58,0
1.56,1.51,0.6,4.59,4.58,0
1.56,1.51,0.59,4.59,4.59,0
1.56,1.51,0.6,4.59,4.58,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.59,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.59,4.59,4.56,0
1.56,1.51,0.6,4.59,4.56,0
1.56,1.51,0.59,4.59,4.56,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.59,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.59,4.59,4.57,0
1.56,1.51,0.59,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.59,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.59,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.58,0
1.56,1.51,0.6,4.59,4.58,0
1.56,1.51,0.6,4.59,4.58,0
1.56,1.51,0.6,4.59,4.58,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.59,4.59,4.57,0
1.56,1.51,0.59,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.59,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.59,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.59,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.59,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.59,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.59,4.59,4.57,0
1.56,1.51,0.59,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.59,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.59,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.58,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.55,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.59,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.58,0
1.56,1.51,0.59,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.59,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.59,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.59,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.59,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.59,4.59,4.57,0
1.56,1.51,0.59,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.59,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
1.56,1.51,0.6,4.59,4.57,0
